Year,Month,Day,Daily global solar exposure (MJ/m*m),Station
1995,09,03,21,Arkaroola
1995,09,04,NA,Arkaroola
1995,09,05,12.3,Arkaroola
1995,09,06,19.4,Arkaroola
1995,09,07,21,Arkaroola
1995,09,08,21.1,Arkaroola
1995,09,09,21.6,Arkaroola
1995,09,10,21.6,Arkaroola
1995,09,11,NA,Arkaroola
1995,09,12,22.3,Arkaroola
1995,09,13,22.1,Arkaroola
1995,09,14,13.9,Arkaroola
1995,09,15,21.5,Arkaroola
1995,09,16,13.3,Arkaroola
1995,09,17,11.7,Arkaroola
1995,09,18,20.2,Arkaroola
1995,09,19,23.2,Arkaroola
1995,09,20,13.3,Arkaroola
1995,09,21,23.2,Arkaroola
1995,09,22,16.4,Arkaroola
1995,09,23,22.1,Arkaroola
1995,09,24,22.1,Arkaroola
1995,09,25,24.8,Arkaroola
1995,09,26,25.4,Arkaroola
1995,09,27,25.7,Arkaroola
1995,09,28,20.2,Arkaroola
1995,09,29,21.8,Arkaroola
1995,09,30,21.9,Arkaroola
1995,10,01,14,Arkaroola
1995,10,02,16,Arkaroola
1995,10,03,23.5,Arkaroola
1995,10,04,NA,Arkaroola
1995,10,05,9.6,Arkaroola
1995,10,06,23.3,Arkaroola
1995,10,07,21.9,Arkaroola
1995,10,08,26.7,Arkaroola
1995,10,09,27.4,Arkaroola
1995,10,10,22.2,Arkaroola
1995,10,11,7.4,Arkaroola
1995,10,12,26.2,Arkaroola
1995,10,13,28.1,Arkaroola
1995,10,14,27.9,Arkaroola
1995,10,15,29,Arkaroola
1995,10,16,29.6,Arkaroola
1995,10,17,28.6,Arkaroola
1995,10,18,NA,Arkaroola
1995,10,19,NA,Arkaroola
1995,10,20,NA,Arkaroola
1995,10,21,3,Arkaroola
1995,10,22,15.6,Arkaroola
1995,10,23,22.5,Arkaroola
1995,10,24,25.3,Arkaroola
1995,10,25,NA,Arkaroola
1995,10,26,29.8,Arkaroola
1995,10,27,30.3,Arkaroola
1995,10,28,29.9,Arkaroola
1995,10,29,29.8,Arkaroola
1995,10,30,29.3,Arkaroola
1995,10,31,28.9,Arkaroola
1995,11,01,24.5,Arkaroola
1995,11,02,13.2,Arkaroola
1995,11,03,2.8,Arkaroola
1995,11,04,18.7,Arkaroola
1995,11,05,30.3,Arkaroola
1995,11,06,29.7,Arkaroola
1995,11,07,30.3,Arkaroola
1995,11,08,28.4,Arkaroola
1995,11,09,14.8,Arkaroola
1995,11,10,15.7,Arkaroola
1995,11,11,31,Arkaroola
1995,11,12,31,Arkaroola
1995,11,13,12.1,Arkaroola
1995,11,14,29.9,Arkaroola
1995,11,15,30.4,Arkaroola
1995,11,16,31.3,Arkaroola
1995,11,17,18.8,Arkaroola
1995,11,18,23.2,Arkaroola
1995,11,19,5.6,Arkaroola
1995,11,20,16,Arkaroola
1995,11,21,26.4,Arkaroola
1995,11,22,29.8,Arkaroola
1995,11,23,31.7,Arkaroola
1995,11,24,28.5,Arkaroola
1995,11,25,28,Arkaroola
1995,11,26,31.9,Arkaroola
1995,11,27,30.7,Arkaroola
1995,11,28,14.3,Arkaroola
1995,11,29,25.5,Arkaroola
1995,11,30,28.2,Arkaroola
1995,12,01,33.1,Arkaroola
1995,12,02,32.2,Arkaroola
1995,12,03,33.4,Arkaroola
1995,12,04,17.8,Arkaroola
1995,12,05,30.2,Arkaroola
1995,12,06,33.9,Arkaroola
1995,12,07,33.9,Arkaroola
1995,12,08,29.9,Arkaroola
1995,12,09,24.4,Arkaroola
1995,12,10,15.6,Arkaroola
1995,12,11,34,Arkaroola
1995,12,12,33.8,Arkaroola
1995,12,13,31.9,Arkaroola
1995,12,14,24.3,Arkaroola
1995,12,15,32.8,Arkaroola
